<<<<<<< HEAD
client_id,birth_number,district_id,sex
1,706113,18,female
2,450229,1,male
3,406009,1,female
4,561201,5,male
5,605703,5,female
6,190922,12,male
7,290125,15,male
8,385221,51,female
9,351016,60,male
10,430501,57,male
11,505822,57,female
12,810220,40,male
13,745529,54,female
14,425622,76,female
15,185828,21,female
16,190225,21,male
17,341013,76,male
18,315405,76,female
19,421228,47,male
20,790104,46,male
21,526029,12,female
22,696011,1,female
23,730529,1,male
24,395729,43,female
25,395423,21,female
26,695420,74,female
27,665326,54,female
28,450929,1,male
29,515911,30,female
30,576009,74,female
31,620209,68,male
32,800728,52,male
33,486204,73,female
36,785717,7,female
37,700810,7,male
38,735723,36,female
39,680125,68,male
40,575122,5,female
41,680827,22,male
42,350817,68,male
43,201028,75,male
44,775111,38,female
45,520826,20,male
46,405130,19,female
47,340714,76,male
48,400209,16,male
49,595511,72,female
50,785730,39,female
51,796202,36,female
52,241212,32,male
53,770505,64,male
55,485918,45,female
56,600331,21,male
57,616217,21,female
58,275429,1,female
59,570218,1,male
60,800219,67,male
61,485806,16,female
62,321208,77,male
63,590604,4,male
64,260422,20,male
65,435527,50,female
66,516110,1,female
67,326111,29,female
68,461214,43,male
70,251222,70,male
71,275206,70,female
72,230113,47,male
73,240220,22,male
74,255726,22,female
75,775919,64,female
76,676001,36,female
77,565218,1,female
78,445613,16,female
79,695310,37,female
80,795225,64,female
81,760429,8,male
82,796225,8,female
83,786225,1,female
84,790505,1,male
85,610827,1,male
86,695720,1,female
87,466117,72,female
89,515505,1,female
90,750817,52,male
91,400807,63,male
92,665612,74,female
93,250216,3,male
94,470909,43,male
95,525803,43,female
96,720229,74,male
97,651128,26,male
98,735504,33,female
99,730126,33,male
100,425811,44,female
101,430123,68,male
102,585910,74,female
103,550711,74,male
105,800526,31,male
106,686230,68,female
107,720623,1,male
108,630913,17,male
110,675413,2,female
112,350125,1,male
113,405815,1,female
114,695624,74,female
115,691224,74,male
116,420128,74,male
117,365920,74,female
118,220719,55,male
119,225228,55,female
120,760510,1,male
121,786029,41,female
122,636113,35,female
123,690212,11,male
124,670921,44,male
125,361031,37,male
126,295927,37,female
127,506227,21,female
128,735404,63,female
129,475531,64,female
130,420214,53,male
131,775131,53,female
132,530126,36,male
134,320118,6,male
135,385910,6,female
136,215126,55,female
137,230914,60,male
138,726021,54,female
139,595725,8,female
140,610606,8,male
141,251102,31,male
142,370621,68,male
143,780709,27,male
144,581206,65,male
145,780214,55,male
146,616219,31,female
147,336102,21,female
148,401225,21,male
